time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-09-10 00:00:00+00:00,3,3,0,0
2026-09-11 00:00:00+00:00,5,5,0,0
2026-09-12 00:00:00+00:00,12,6,0,0
2026-09-13 00:00:00+00:00,3,3,0,0
2026-09-14 00:00:00+00:00,13,3,0,0
2026-09-15 00:00:00+00:00,4,3,0,0
2026-09-16 00:00:00+00:00,3,3,0,0
2026-09-17 00:00:00+00:00,1,1,0,0
2026-09-18 00:00:00+00:00,8,7,1,1
2026-09-19 00:00:00+00:00,5,5,1,1
2026-09-20 00:00:00+00:00,10,5,1,1
2026-09-21 00:00:00+00:00,4,4,0,0
2026-09-22 00:00:00+00:00,3,3,0,0
2026-09-23 00:00:00+00:00,14,5,1,1
