url_path,views_total,views_unique
/bandframework/rose/blob/v1.0.0/docs/tutorials/ROSE_tutorial_2_optical_potential_surmise_UQ.ipynb,10,1
/bandframework/rose,7,5
/bandframework/rose/tree/github-repo-stats/bandframework/rose/latest-report,4,1
/bandframework/rose/tree/main/docs/tutorials,4,1
/bandframework/rose/pull/49,2,2
/bandframework/rose/blob/github-repo-stats/bandframework/rose/latest-report/report.html,2,1
/bandframework/rose/blob/github-repo-stats/bandframework/rose/latest-report/report.md,2,1
/bandframework/rose/blob/github-repo-stats/bandframework/rose/latest-report/report.pdf,2,1
/bandframework/rose/blob/main/docs/tutorials/ROSE_tutorial_1_building_an_emulator.ipynb,2,1
/bandframework/rose/blob/main/docs/tutorials/ROSE_tutorial_2_optical_potential_surmise_UQ.ipynb,2,1
