time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-03 00:00:00+00:00,17,7,4,1
2026-05-04 00:00:00+00:00,16,6,1,1
2026-05-05 00:00:00+00:00,23,8,0,0
2026-05-06 00:00:00+00:00,10,5,0,0
2026-05-07 00:00:00+00:00,9,4,0,0
2026-05-08 00:00:00+00:00,30,9,0,0
2026-05-09 00:00:00+00:00,25,8,0,0
2026-05-10 00:00:00+00:00,15,6,0,0
2026-05-11 00:00:00+00:00,14,5,0,0
2026-05-12 00:00:00+00:00,37,9,0,0
2026-05-13 00:00:00+00:00,22,7,1,1
2026-05-14 00:00:00+00:00,27,10,0,0
2026-05-15 00:00:00+00:00,11,6,0,0
2026-05-16 00:00:00+00:00,19,6,0,0
