url_path,views_total,views_unique
/bandframework/rose,6,5
/bandframework/rose/tree/main/src/rose,3,2
/bandframework/rose/tree/bc9e9caac25506944c9b5888e88882ca54809f66,2,2
/bandframework/rose/tree/main/src,2,2
/bandframework/rose/blob/main/src/rose/interaction_eim.py,2,1
/bandframework/rose/blob/main/src/rose/interaction.py,2,1
/bandframework/rose/blob/main/docs/tutorials/ROSE_tutorial_2_optical_potential_surmise_UQ.ipynb,1,1
/bandframework/rose/blob/main/src/rose/elastic_emulator.py,1,1
/bandframework/rose/blob/main/src/rose/lagrangelegendersolver.py,1,1
/bandframework/rose/blob/main/src/rose/reduced_basis_emulator.py,1,1
